customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,InternetCharges,MonthlyCharges,TotalCharges,Churn
customer_77,Male,0,No,No,44,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,880,No
customer_78,Female,1,Yes,Yes,64,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1280,No
customer_79,Female,1,No,No,70,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Two year,83.67,134.57,9419.9,No
customer_80,Female,1,Yes,Yes,8,No,No,DSL,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,30.03,75.03,600.24,No
customer_81,Male,0,Yes,No,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,0,No
customer_82,Male,1,No,No,7,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,One year,30.28,94.63,662.41,No
customer_83,Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,43.49,2696.38,No
customer_84,Female,0,No,Yes,10,No,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No,Two year,43.38,63.38,633.8,No
customer_85,Male,0,No,Yes,7,No,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,45.97,70.97,496.79,Yes
customer_86,Male,1,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,37.77,1284.18,No
customer_87,Female,0,No,Yes,34,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,95.58,135.58,4609.72,No
customer_88,Male,1,No,Yes,32,No,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,45.58,100.58,3218.56,Yes
customer_89,Female,0,Yes,Yes,4,Yes,No phone service,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,20.11,99.86,399.44,No
customer_90,Male,0,Yes,Yes,40,Yes,No,DSL,No internet service,No,Yes,Yes,No,Yes,One year,25.07,100.59,4023.6,No
customer_91,Female,1,No,Yes,27,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,38.32,63.32,1709.64,Yes
customer_92,Female,1,No,Yes,6,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,70.1,135.1,810.6,No
customer_93,Female,1,No,No,72,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,1440,No
customer_94,Male,1,No,Yes,71,No,No,Fiber optic,No,No,No internet service,Yes,No,No,One year,85.0,115.0,8165.0,No
customer_95,Male,1,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,64.8,131.03,1441.33,No
customer_96,Female,1,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,112.54,167.54,5528.82,No
customer_97,Female,1,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,42.27,1352.64,No
customer_98,Male,1,Yes,Yes,47,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,112.59,167.59,7876.73,No
customer_99,Male,0,Yes,No,22,No,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,107.7,137.7,3029.4,Yes
customer_100,Male,0,No,No,61,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1220,No
customer_101,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,41.86,1506.96,No
customer_102,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,24.8,84.74,3643.82,No
customer_103,Female,0,No,Yes,34,No,No phone service,DSL,No,Yes,No,Yes,No,No internet service,One year,37.17,72.17,2453.78,No
customer_104,Female,1,Yes,No,64,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No,Month-to-month,53.78,107.49,6879.36,No
customer_105,Male,1,No,No,46,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,27.76,84.78,3899.88,No
customer_106,Male,0,Yes,Yes,2,No,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,39.76,89.76,179.52,No
customer_107,Female,1,No,Yes,0,No,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,Month-to-month,88.16,123.16,0.0,Yes
customer_108,Female,0,Yes,No,4,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,80,No
customer_109,Female,1,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,40.03,520.39,No
customer_110,Female,0,No,Yes,26,Yes,Yes,DSL,No internet service,No,No,No internet service,No internet service,No internet service,One year,26.35,74.71,1942.46,No
customer_111,Female,0,No,Yes,8,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,160,No
customer_112,Female,0,No,Yes,14,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,116.71,167.9,2350.6,No
customer_113,Female,0,Yes,No,41,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,78.12,128.12,5252.92,Yes
customer_114,Female,0,Yes,No,50,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,117.69,195.91,9795.5,No
customer_115,Male,1,No,No,62,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,One year,59.38,114.77,7115.74,No
customer_116,Female,0,Yes,Yes,51,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1020,No
customer_117,Male,0,No,Yes,3,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Month-to-month,130.77,199.07,597.21,Yes
customer_118,Female,0,No,Yes,22,No,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,One year,25.5,65.5,1441.0,No
customer_119,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,41.11,101.63,1422.82,Yes
customer_120,Male,0,Yes,No,42,No,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,43.0,73.0,3066.0,No
customer_121,Female,0,No,Yes,28,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,560,No
customer_122,Female,0,Yes,No,35,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,700,No
customer_123,Female,0,No,Yes,12,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,240,No
customer_124,Female,0,Yes,No,31,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,52.46,87.46,2711.26,No
customer_125,Female,0,No,Yes,70,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,Two year,30.13,63.95,4476.5,No
customer_126,Male,1,No,Yes,58,No,No,Fiber optic,No internet service,No,No,No,Yes,No,One year,115.37,150.37,8721.46,No
customer_127,Female,0,No,Yes,27,No,No phone service,DSL,No internet service,No,No,Yes,Yes,No,One year,46.44,91.44,2468.88,No
customer_128,Female,0,No,No,65,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1300,No
customer_129,Female,1,Yes,Yes,41,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,820,No
customer_130,Male,0,No,Yes,44,Yes,Yes,DSL,No internet service,No,No,No,No internet service,Yes,Two year,44.2,98.2,4320.8,No
customer_131,Female,0,Yes,No,61,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1220,No
customer_132,Male,0,Yes,No,56,No,No phone service,DSL,No,No,No internet service,No,Yes,No internet service,One year,31.42,66.42,3719.52,No
customer_133,Male,0,No,Yes,5,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,100,No
customer_134,Male,1,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,32.43,875.61,Yes
customer_135,Male,0,No,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,540,No
customer_136,Male,0,Yes,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,860,No
customer_137,Female,0,Yes,No,29,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,107.02,155.67,4514.43,No
customer_138,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Two year,80.05,149.18,9099.98,No
customer_139,Female,0,Yes,Yes,61,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,48.04,2930.44,No
customer_140,Male,0,Yes,Yes,0,No,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,55.56,90.56,0.0,No
customer_141,Female,1,Yes,No,26,No,No,DSL,No internet service,Yes,Yes,No,No,No,One year,38.58,73.58,1913.08,No
customer_142,Female,1,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,32.12,1959.32,No
customer_143,Male,1,No,Yes,2,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,Two year,52.54,126.96,253.92,No
customer_144,Male,1,No,No,69,No,No,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,43.33,103.33,7129.77,Yes
customer_145,Female,1,No,Yes,71,Yes,No,DSL,No,No internet service,No,No,No,Yes,Two year,36.02,92.26,6550.46,No
customer_146,Female,0,No,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,520,No
customer_147,Male,1,No,No,8,No,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,21.56,71.56,572.48,No
customer_148,Female,1,Yes,Yes,61,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Two year,86.91,116.91,7131.51,No
customer_149,Female,1,Yes,No,36,No,No phone service,DSL,No,No internet service,No,No internet service,No internet service,No internet service,One year,21.07,41.07,1478.52,No
customer_150,Male,0,No,Yes,50,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,1000,Yes
customer_151,Male,0,Yes,No,43,No,No,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,56.82,86.82,3733.26,No
customer_152,Male,0,No,No,23,No,No,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,50.88,70.88,1630.24,No
customer_153,Female,1,Yes,Yes,58,No,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,One year,116.4,161.4,9361.2,No
customer_154,Female,1,Yes,No,31,No,No,DSL,No,Yes,No,No internet service,Yes,No,Two year,56.96,96.96,3005.76,No
customer_155,Female,0,Yes,No,51,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,46.79,106.79,5446.29,No
customer_156,Male,0,Yes,No,61,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,92.55,157.55,9610.55,No
customer_157,Male,1,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,34.64,1974.48,No
customer_158,Male,0,No,Yes,51,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Month-to-month,105.44,189.01,9639.51,No
customer_159,Female,1,Yes,No,11,No,Yes,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,48.74,73.74,811.14,No
customer_160,Female,0,Yes,No,38,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,98.2,168.2,6391.6,Yes
customer_161,Female,0,No,No,1,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,20,No
customer_162,Female,1,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No,Two year,115.22,173.54,347.08,No
customer_163,Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,37.47,2060.85,No
customer_164,Female,0,Yes,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,1160,Yes
customer_165,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,32.32,32.32,No
customer_166,Female,0,No,Yes,1,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0.0,20,20,No
customer_167,Male,1,No,Yes,53,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,33.78,83.78,4440.34,No
customer_168,Male,0,No,Yes,0,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,One year,59.71,89.71,0.0,No
customer_169,Female,1,Yes,Yes,18,No,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,53.39,98.39,1771.02,No
customer_170,Female,1,No,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,124.76,217.06,217.06,No
customer_171,Male,0,Yes,Yes,52,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,One year,49.62,118.4,6156.8,No
customer_172,Male,0,No,Yes,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,20,860,No
customer_173,Male,1,Yes,Yes,31,No,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Two year,114.3,159.3,4938.3,No
customer_174,Female,1,No,No,69,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Two year,84.06,139.06,9595.14,No
customer_175,Female,0,No,No,31,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,53.89,114.6,3552.6,No
customer_176,Male,1,No,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,43.43,2909.81,No
customer_177,Male,1,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,44.94,2426.76,No
customer_178,Male,0,No,Yes,55,No,No,Fiber optic,No,No internet service,No internet service,No,No,No,One year,88.77,108.77,5982.35,No
customer_179,Female,1,Yes,No,16,No,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Two year,42.13,92.13,1474.08,No
customer_180,Female,1,Yes,Yes,37,No,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,87.01,112.01,4144.37,No
customer_181,Female,1,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,39.77,914.71,No
customer_182,Male,0,Yes,Yes,68,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,28.75,111.21,7562.28,No
customer_183,Female,1,Yes,Yes,69,No,Yes,DSL,No internet service,No internet service,No,No internet service,No,Yes,Two year,40.09,75.09,5181.21,No
customer_184,Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0.0,35.05,350.5,No
customer_185,Female,0,No,No,15,No,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,59.67,99.67,1495.05,No
customer_186,Male,1,No,No,72,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0.0,20,1440,No
customer_187,Male,1,No,No,58,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,21.86,80.55,4671.9,No
customer_188,Male,0,No,Yes,69,Yes,No phone service,DSL,No internet service,No,Yes,No,Yes,No internet service,One year,29.62,98.16,6773.04,No
customer_189,Female,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,One year,91.74,137.33,274.66,Yes
customer_190,Female,1,Yes,No,19,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,31.82,66.82,1269.58,No
